net,length_um
net20,92.81µm
_0232_,92.73µm
net29,90.52µm
net45,90.38µm
_0243_,89.1µm
_0721_,88.58µm
net56,88.48µm
clknet_0_clk,88.17µm
_0316_,87.83µm
net77,87.58µm
_0069_,87.02µm
_0258_,86.92µm
net59,86.8µm
net101,86.6µm
_0085_,86.09µm
net84,85.82µm
net102,85.74µm
_0355_,85.72µm
_0367_,85.57µm
_0144_,85.39µm
net43,85.05µm
_0467_,84.66µm
_0411_,84.47µm
_0728_,84.36µm
_0131_,83.3µm
net118,83.17µm
net92,83.12µm
net117,82.6µm
_0563_,82.4µm
net80,82.27µm
_0747_,82.12µm
net52,82.02µm
_0035_,81.59µm
audio_player_inst.sample_counter\[1\],81.17µm
net74,80.81µm
audio_player_inst.sample_counter\[0\],80.34µm
net112,79.14µm
net87,78.875µm
_0097_,78.8µm
_0051_,77.64µm
clknet_2_3__leaf_clk,76.98µm
audio_player_inst.current_addr\[10\],76.7µm
_0378_,76.02µm
_0128_,75.52µm
_0434_,75.37µm
_0056_,75.24µm
_0326_,74.77µm
net99,73.9µm
audio_player_inst.current_addr\[0\],73.89µm
net3,73.85µm
net86,73.6µm
clknet_2_0__leaf_clk,72.82µm
_0129_,72.5µm
audio_player_inst.sample_counter\[4\],72.4µm
_0695_,72.07µm
_0282_,71.97µm
_0415_,71.66µm
net95,71.49µm
_0081_,71.32µm
_0180_,71.18µm
net64,70.76µm
_0440_,70.56µm
_0216_,69.37µm
_0281_,69.06µm
audio_player_inst.current_addr\[12\],68.64µm
_0123_,68.47µm
_0330_,68.46µm
clknet_2_2__leaf_clk,68.18µm
_0236_,68.08µm
_0186_,67.79µm
clknet_2_1__leaf_clk,67.7µm
_0351_,67.68µm
_0751_,67.46µm
_0745_,66.78µm
_0572_,66.76µm
_0169_,66.14µm
_0205_,65.73µm
_0093_,65.52µm
net9,63.6µm
net71,63.23µm
_0166_,62.46µm
_0092_,62.11µm
_0154_,61.77µm
_0184_,60.45µm
net60,59.96µm
net104,59.86µm
_0269_,59.66µm
_0040_,59.1µm
_0165_,58.44µm
_0493_,58.28µm
net90,57.68µm
_0240_,57.42µm
_0047_,57.38µm
clk,56.45µm
_0174_,55.95µm
_0780_,55.68µm
_0431_,55.02µm
_0574_,54.64µm
_0264_,54.44µm
net85,54.08µm
net81,53.94µm
_0696_,53.14µm
_0104_,52.8µm
_0241_,52.52µm
_0292_,51.41µm
_0685_,51.37µm
_0486_,51.1µm
_0397_,51.02µm
_0781_,50.995µm
_0200_,50.84µm
_0656_,50.82µm
_0533_,50.19µm
_0733_,50.14µm
_0086_,49.9µm
_0642_,48.89µm
net88,48.14µm
rst_n,47.97µm
_0604_,47.8µm
_0500_,47.7µm
_0309_,47.68µm
audio_player_inst.sample_counter\[2\],47.68µm
_0428_,47µm
audio_player_inst.pwm_counter\[1\],47µm
_0194_,46.82µm
audio_player_inst.current_addr\[13\],46.38µm
_0207_,46.28µm
net62,46.2µm
_0188_,45.76µm
audio_player_inst.sample_counter\[5\],45.67µm
_0332_,45.5µm
_0649_,45.12µm
_0761_,44.27µm
_0504_,43.87µm
_0137_,43.08µm
_0249_,43.08µm
_0268_,42.94µm
_0370_,42.56µm
_0160_,42.22µm
_0133_,42.08µm
_0423_,42.06µm
_0764_,42.02µm
net148,41.58µm
_0390_,41.28µm
_0237_,41.16µm
_0109_,40.92µm
_0125_,40.855µm
_0259_,40.7µm
_0349_,40.2µm
_0427_,39.97µm
_0300_,39.92µm
_0754_,39.91µm
_0214_,39.76µm
_0094_,39.57µm
_0307_,39.28µm
audio_player_inst.pwm_counter\[0\],39.25µm
_0436_,38.92µm
_0412_,38.38µm
_0303_,37.98µm
audio_player_inst.sample_counter\[6\],37.24µm
_0344_,37.1µm
net96,36.9µm
ena,36.84µm
_0150_,36.66µm
_0760_,36.47µm
_0479_,36.28µm
_0215_,36.08µm
_0100_,35.86µm
_0525_,35.86µm
_0372_,35.76µm
_0157_,35.46µm
_0676_,35.28µm
_0291_,35.22µm
_0279_,34.96µm
_0173_,34.64µm
_0341_,34.56µm
_0360_,34.4µm
_0391_,34.3µm
_0450_,34.26µm
_0461_,34.26µm
_0786_,34.2µm
_0577_,33.95µm
_0311_,33.67µm
audio_player_inst.current_addr\[14\],33.54µm
audio_player_inst.sample_counter\[3\],33.3µm
_0353_,33.18µm
_0310_,33.14µm
_0078_,33.02µm
_0253_,33µm
_0053_,32.88µm
_0130_,32.72µm
_0289_,32.64µm
net7,32.42µm
_0313_,32.3µm
_0524_,32.3µm
_0739_,32.24µm
_0014_,32.12µm
_0044_,31.78µm
_0376_,31.76µm
_0163_,31.5µm
_0206_,31µm
_0591_,30.96µm
_0734_,30.96µm
_0730_,30.66µm
_0301_,30.54µm
_0666_,30.44µm
_0748_,30.42µm
_0650_,30.36µm
_0732_,30.34µm
_0338_,29.86µm
_0421_,29.86µm
_0233_,29.76µm
_0724_,29.74µm
audio_player_inst.current_addr\[15\],29.5µm
_0508_,29.38µm
_0553_,29.36µm
_0731_,29.32µm
_0343_,29.045µm
_0567_,28.94µm
_0753_,28.92µm
_0219_,28.82µm
_0639_,28.62µm
_0170_,28.36µm
_0623_,27.96µm
_0189_,27.86µm
_0546_,27.7µm
_0536_,27.56µm
_0263_,27.52µm
_0763_,26.92µm
_0115_,26.9µm
_0474_,26.66µm
_0580_,26.5µm
_0632_,26.36µm
_0113_,26.3µm
audio_player_inst.pwm_counter\[2\],26.29µm
_0204_,26.28µm
_0778_,26.16µm
_0331_,26.12µm
_0752_,26.04µm
_0308_,25.96µm
_0368_,25.96µm
_0070_,25.92µm
_0375_,25.8µm
_0290_,25.2µm
_0235_,25.18µm
_0159_,25.14µm
_0107_,25.12µm
_0016_,24.94µm
_0742_,24.88µm
_0767_,24.64µm
_0294_,24.48µm
_0438_,24.48µm
_0532_,24.38µm
_0621_,24.26µm
_0726_,24.26µm
_0398_,24µm
_0635_,24µm
_0327_,23.96µm
_0441_,23.96µm
_0483_,23.9µm
_0723_,23.825µm
_0655_,23.8µm
_0448_,23.14µm
_0597_,23.08µm
_0585_,22.88µm
_0103_,22.76µm
_0658_,22.7µm
_0664_,22.68µm
_0603_,22.42µm
_0519_,22.36µm
_0523_,22µm
_0646_,21.7µm
_0588_,21.66µm
_0223_,21.62µm
_0595_,21.42µm
_0211_,21.36µm
_0098_,21.34µm
_0203_,21.2µm
_0785_,21.02µm
_0084_,20.98µm
net137,20.93µm
_0270_,20.64µm
_0407_,20.32µm
_0738_,20.32µm
_0579_,20.2µm
_0278_,19.755µm
audio_player_inst.sample_counter\[10\],19.5µm
audio_player_inst.sample_counter\[8\],19.42µm
_0688_,19.32µm
_0244_,19.12µm
_0271_,19.02µm
net154,18.955µm
_0469_,18.7µm
_0471_,18.7µm
_0710_,18.68µm
_0771_,18.62µm
_0239_,18.52µm
_0034_,18.48µm
_0048_,18.48µm
_0627_,18.4µm
_0209_,18.14µm
_0325_,18.06µm
_0315_,17.9µm
net139,17.71µm
audio_player_inst.sample_counter\[11\],17.2µm
_0242_,16.9µm
_0678_,16.86µm
_0537_,16.82µm
_0619_,16.8µm
_0342_,16.66µm
_0456_,16.64µm
_0319_,16.3µm
_0677_,16.3µm
audio_player_inst.sample_counter\[9\],16.26µm
net149,16.18µm
_0012_,16.08µm
_0775_,15.84µm
_0451_,15.76µm
_0498_,15.76µm
_0657_,15.68µm
_0552_,15.58µm
_0562_,15.56µm
_0197_,15.54µm
_0624_,15.46µm
_0199_,15.4µm
_0560_,15.34µm
_0193_,15.3µm
_0517_,15.3µm
_0063_,15.26µm
_0256_,15.22µm
_0155_,15.14µm
_0102_,15.08µm
_0708_,15.06µm
_0458_,15.02µm
_0296_,15µm
_0477_,14.98µm
_0644_,14.96µm
_0409_,14.88µm
_0298_,14.8µm
_0521_,14.66µm
_0164_,14.64µm
_0626_,14.58µm
_0571_,14.56µm
_0466_,14.51µm
_0501_,14.46µm
_0645_,14.24µm
_0620_,14.1µm
audio_player_inst.pwm_counter\[3\],14.05µm
_0247_,13.6µm
_0514_,13.56µm
net156,13.56µm
_0598_,13.54µm
net141,13.53µm
_0018_,13.5µm
_0033_,13.48µm
_0699_,13.46µm
_0136_,13.4µm
_0530_,13.38µm
_0379_,13.36µm
_0021_,13.26µm
_0545_,13.2µm
_0774_,13.16µm
_0410_,13.1µm
_0420_,13.1µm
_0424_,13.06µm
_0015_,13µm
_0392_,12.9µm
_0757_,12.85µm
net138,12.85µm
_0195_,12.72µm
_0569_,12.72µm
_0445_,12.64µm
net147,12.44µm
_0714_,12.4µm
_0182_,12.34µm
_0181_,12.26µm
_0468_,12.18µm
_0719_,12.16µm
_0457_,11.88µm
_0718_,11.82µm
_0735_,11.82µm
_0416_,11.8µm
_0506_,11.8µm
_0605_,11.8µm
_0691_,11.8µm
_0535_,11.78µm
_0769_,11.78µm
net143,11.74µm
_0354_,11.72µm
_0715_,11.66µm
audio_player_inst.sample_counter\[7\],11.6µm
net146,11.54µm
_0543_,11.38µm
_0413_,11.34µm
_0429_,11.28µm
net150,11.26µm
net142,11.24µm
_0346_,11.22µm
_0507_,11.22µm
_0248_,11.16µm
audio_player_inst.current_addr\[6\],11.16µm
_0725_,11.085µm
_0172_,11.08µm
_0011_,11.02µm
_0083_,11µm
_0607_,10.84µm
_0777_,10.82µm
_0151_,10.8µm
_0766_,10.78µm
_0492_,10.76µm
_0064_,10.66µm
_0393_,10.58µm
_0377_,10.56µm
_0146_,10.5µm
_0230_,10.4µm
_0608_,10.24µm
_0556_,10.2µm
audio_player_inst.sample_tick,10.16µm
_0403_,10.02µm
_0502_,9.96µm
_0013_,9.82µm
_0687_,9.56µm
_0634_,9.54µm
_0770_,9.54µm
audio_player_inst.current_addr\[4\],9.54µm
_0593_,9.5µm
_0022_,9.48µm
_0454_,9.44µm
_0036_,9.4µm
_0618_,9.39µm
_0491_,9.36µm
_0772_,9.34µm
_0386_,9.32µm
_0221_,9.2µm
_0442_,9.16µm
_0568_,9.16µm
_0023_,9.14µm
_0743_,9.14µm
_0513_,9.08µm
_0759_,8.88µm
_0284_,8.85µm
_0736_,8.82µm
_0287_,8.62µm
_0433_,8.58µm
_0080_,8.56µm
_0304_,8.56µm
_0660_,8.52µm
_0122_,8.48µm
_0455_,8.48µm
_0709_,8.48µm
_0280_,8.44µm
_0024_,8.36µm
net129,8.34µm
_0693_,8.32µm
_0025_,8.28µm
_0648_,8.28µm
_0665_,8.14µm
_0176_,8.12µm
_0267_,8.06µm
_0295_,8.06µm
_0395_,8.02µm
_0610_,8.02µm
_0592_,7.98µm
_0612_,7.94µm
_0700_,7.9µm
net153,7.845µm
_0350_,7.82µm
_0101_,7.74µm
_0682_,7.74µm
_0435_,7.6µm
_0686_,7.6µm
_0288_,7.48µm
_0418_,7.46µm
_0587_,7.42µm
_0396_,7.32µm
_0744_,7.28µm
_0494_,7.27µm
_0681_,7.22µm
_0755_,7.22µm
_0452_,7.2µm
_0317_,7.18µm
_0049_,7.1µm
_0443_,7.1µm
_0528_,7.06µm
_0369_,6.98µm
_0741_,6.98µm
net123,6.95µm
_0371_,6.94µm
_0027_,6.88µm
audio_player_inst.current_addr\[7\],6.88µm
_0422_,6.86µm
_0032_,6.84µm
_0222_,6.78µm
_0716_,6.76µm
_0611_,6.74µm
_0673_,6.74µm
_0148_,6.72µm
_0229_,6.72µm
net157,6.72µm
_0254_,6.62µm
_0575_,6.6µm
_0007_,6.48µm
_0345_,6.44µm
_0227_,6.4µm
_0692_,6.4µm
_0672_,6.32µm
_0002_,6.3µm
_0488_,6.3µm
_0489_,6.3µm
_0702_,6.3µm
_0277_,6.26µm
_0405_,6.26µm
_0653_,6.26µm
_0162_,6.16µm
_0516_,6.16µm
_0641_,6.16µm
_0365_,6.14µm
_0640_,6.14µm
_0388_,6.12µm
_0208_,5.92µm
_0135_,5.86µm
_0030_,5.84µm
_0218_,5.84µm
_0246_,5.84µm
_0465_,5.84µm
_0323_,5.82µm
_0329_,5.8µm
_0414_,5.8µm
_0178_,5.74µm
_0484_,5.74µm
_0625_,5.74µm
_0106_,5.72µm
_0432_,5.72µm
_0706_,5.72µm
_0356_,5.68µm
_0522_,5.68µm
_0561_,5.68µm
_0511_,5.58µm
_0046_,5.48µm
_0683_,5.44µm
_0470_,5.4µm
_0762_,5.4µm
_0402_,5.38µm
_0490_,5.38µm
_0614_,5.38µm
net145,5.38µm
_0538_,5.34µm
uo_out[0],5.33µm
_0192_,5.26µm
_0336_,5.26µm
_0389_,5.26µm
_0518_,5.26µm
_0784_,5.26µm
_0299_,5.24µm
_0496_,5.24µm
_0526_,5.24µm
_0727_,5.22µm
_0482_,5.21µm
_0544_,5.14µm
_0175_,5.06µm
_0643_,5.06µm
_0250_,5.035µm
_0439_,5.01µm
_0293_,4.94µm
_0551_,4.94µm
_0654_,4.94µm
_0703_,4.92µm
net155,4.92µm
_0314_,4.88µm
_0322_,4.88µm
_0366_,4.88µm
_0481_,4.88µm
_0729_,4.88µm
_0599_,4.82µm
_0651_,4.82µm
net151,4.82µm
_0238_,4.8µm
_0615_,4.8µm
_0756_,4.76µm
net140,4.74µm
_0564_,4.66µm
_0557_,4.6µm
_0779_,4.6µm
_0722_,4.56µm
_0453_,4.48µm
_0352_,4.46µm
_0426_,4.46µm
_0670_,4.46µm
_0720_,4.46µm
_0357_,4.44µm
_0540_,4.42µm
_0318_,4.36µm
_0661_,4.36µm
_0252_,4.34µm
_0590_,4.34µm
_0697_,4.34µm
_0026_,4.22µm
_0583_,4.2µm
_0459_,4.14µm
_0542_,4.14µm
_0638_,4.14µm
_0020_,4.12µm
_0555_,4.12µm
_0394_,4.1µm
_0017_,4.08µm
_0143_,4.02µm
_0541_,4.02µm
_0255_,4µm
_0570_,4µm
_0606_,3.975µm
_0558_,3.89µm
_0447_,3.88µm
_0503_,3.88µm
_0586_,3.88µm
_0630_,3.88µm
_0713_,3.88µm
_0008_,3.76µm
_0362_,3.76µm
net134,3.73µm
_0274_,3.68µm
_0520_,3.66µm
_0776_,3.64µm
_0187_,3.56µm
_0647_,3.56µm
_0019_,3.54µm
_0374_,3.54µm
_0559_,3.54µm
_0596_,3.54µm
_0740_,3.54µm
audio_player_inst.audio_out,3.54µm
_0060_,3.42µm
_0234_,3.42µm
_0437_,3.42µm
_0765_,3.42µm
_0476_,3.4µm
_0472_,3.32µm
_0609_,3.32µm
_0689_,3.32µm
_0213_,3.22µm
_0449_,3.22µm
_0009_,3.2µm
_0505_,3.2µm
_0631_,3.2µm
_0004_,3.18µm
_0224_,3.18µm
_0531_,3.18µm
_0202_,3.1µm
_0321_,3.1µm
_0680_,3.1µm
_0029_,3.08µm
_0283_,3.08µm
_0348_,3.08µm
_0430_,3.08µm
_0499_,3.08µm
_0622_,3.08µm
_0667_,3.08µm
_0671_,3.08µm
_0028_,3.06µm
_0358_,3.05µm
_0286_,2.96µm
_0417_,2.96µm
_0515_,2.96µm
_0565_,2.96µm
_0659_,2.96µm
net122,2.9µm
net124,2.9µm
net125,2.9µm
net126,2.9µm
net127,2.9µm
net128,2.9µm
net130,2.9µm
net131,2.9µm
net132,2.9µm
net133,2.9µm
net135,2.9µm
net136,2.9µm
net121,2.9µm
_0276_,2.86µm
_0328_,2.86µm
_0134_,2.76µm
_0534_,2.76µm
_0337_,2.685µm
_0075_,2.64µm
_0153_,2.64µm
_0273_,2.64µm
_0305_,2.64µm
_0495_,2.64µm
_0573_,2.64µm
_0601_,2.64µm
_0105_,2.62µm
_0114_,2.62µm
_0118_,2.62µm
_0179_,2.62µm
_0446_,2.62µm
_0539_,2.62µm
_0633_,2.62µm
_0335_,2.52µm
_0383_,2.52µm
_0554_,2.52µm
_0381_,2.5µm
_0529_,2.5µm
_0549_,2.5µm
_0669_,2.5µm
_0705_,2.5µm
_0717_,2.5µm
_0140_,2.495µm
_0497_,2.46µm
_0031_,2.38µm
_0183_,2.38µm
_0312_,2.38µm
_0001_,2.3µm
_0478_,2.3µm
_0512_,2.3µm
_0550_,2.3µm
_0617_,2.3µm
_0629_,2.3µm
_0663_,2.3µm
_0768_,2.3µm
_0473_,2.28µm
_0275_,2.195µm
_0704_,2.18µm
_0006_,2.16µm
_0158_,2.16µm
_0266_,2.16µm
_0361_,2.16µm
_0380_,2.16µm
_0384_,2.16µm
_0404_,2.16µm
_0547_,2.16µm
_0581_,2.16µm
_0600_,2.16µm
_0652_,2.16µm
_0698_,2.16µm
_0773_,2.16µm
_0460_,2.06µm
_0675_,2.04µm
_0177_,1.94µm
_0297_,1.84µm
_0408_,1.84µm
_0444_,1.84µm
_0576_,1.84µm
_0662_,1.84µm
_0674_,1.84µm
_0758_,1.84µm
_0010_,1.82µm
net144,1.82µm
_0509_,1.735µm
_0212_,1.72µm
_0487_,1.72µm
_0616_,1.72µm
_0005_,1.7µm
_0260_,1.7µm
_0324_,1.7µm
_0582_,1.7µm
_0694_,1.7µm
_0707_,1.7µm
_0400_,1.6µm
_0475_,1.6µm
_0364_,1.59µm
_0340_,1.48µm
_0385_,1.48µm
_0463_,1.48µm
_0306_,1.38µm
_0594_,1.38µm
_0000_,1.36µm
_0003_,1.36µm
_0589_,1.28µm
_0485_,1.26µm
_0637_,1.26µm
_0578_,1.14µm
_0462_,1.02µm
_0320_,0.92µm
_0406_,0.92µm
_0480_,0.92µm
_0510_,0.92µm
_0527_,0.92µm
_0119_,0.8µm
_0464_,0.8µm
_0042_,0.46µm
_0261_,0.46µm
_0373_,0.46µm
_0387_,0.46µm
_0425_,0.46µm
_0548_,0.46µm
_0636_,0.46µm
net152,0.46µm
_0359_,0.445µm
